func_name;id;size;handlers
linkcode_resolve;767;1;1
linkcode_resolve;768;1;1
write;769;2;1
process_input_line;770;1;1
process_pure_python;771;0;1
process_pure_python;772;1;1
setup;773;1;1
__init__;774;1;1
import_phantom_module;775;1;1
__init__;776;4;1
__init__;777;1;1
run;778;2;1
contains_doctest;779;1;1
run_code;780;1;1
makefig;781;0;1
remove;782;0;1
remove;783;0;1
remove;784;0;1
remove;785;0;1
remove;786;0;1
remove;787;0;1
remove;788;0;1
remove;789;0;1
remove;790;0;1
remove;791;0;1
remove;792;0;1
remove;793;0;1
remove;794;0;1
remove;795;0;1
remove;796;0;1
remove;797;0;1
remove;798;0;1
remove;799;0;1
remove;800;0;1
remove;801;0;1
remove;802;0;1
remove;803;0;1
remove;804;0;1
remove;805;0;1
remove;806;0;1
remove;807;0;1
remove;808;0;1
remove;809;0;1
remove;810;0;1
remove;811;0;1
setup;812;0;1
setup;813;2;1
setup;814;1;1
setup;815;1;1
setup;816;1;1
setup;817;0;1
setup;818;0;1
setup;819;3;1
setup;820;3;1
setup;821;3;1
setup;822;3;1
pad;823;0;1
backfill;824;0;1
pad;825;0;1
backfill;826;0;1
pad;827;0;1
backfill;828;0;1
pad;829;0;1
backfill;830;0;1
pad;831;0;1
backfill;832;0;1
pad;833;0;1
backfill;834;0;1
setup;835;1;1
setup;836;1;1
remove;837;0;1
remove;838;0;1
remove;839;0;1
remove;840;0;1
remove;841;0;1
remove;842;0;1
remove;843;0;1
remove;844;0;1
remove;845;0;1
remove;846;0;1
remove;847;0;1
remove;848;0;1
remove;849;0;1
remove;850;0;1
remove;851;0;1
check_build;852;0;1
auto_update;853;0;1
pad;854;0;1
backfill;855;0;1
get_utcdatetime;856;1;1
dump_as_gist;857;0;1
main;858;2;1
report_comparative;859;1;1
report_comparative;860;1;1
report_comparative;861;1;1
profile_head_single;862;1;1
profile_head_single;863;1;2
profile_head_single;864;1;1
print_report;865;1;1
main;866;0;1
main;867;3;1
